,source,nutrient,nutrient_conversion,new_nutrient,nutrient_units,units_conversion,nutrient_type,nutrient_desc,relevance
309,RDI,Biotin,Vitamin B7,Vitamin B7,µg,mcg,NA,NA,2
310,RDI,Choline,,Choline,mg,mg,NA,NA,1
311,RDI,Chromium,,Chromium,µg,mcg,NA,NA,1
312,RDI,Fluoride,,Fluoride,mg,,NA,NA,
313,RDI,Manganese,,Manganese,mg,,NA,NA,
314,RDI,Potassium,,Potassium,g,g,NA,NA,2
315,RDI,Sodium,,Sodium,g,mg,NA,NA,1
316,RDI,Chloride,,Chloride,g,g,NA,NA,1
317,RDI,Boron,,Boron,mg,,NA,NA,
318,RDI,Nickel,,Nickel,mg,,NA,NA,
319,RDI,Vanadium,,Vanadium,mg,,NA,NA,
320,RDI,Total water,,Total water,L,,NA,NA,
321,RDI,Total fiber,Fiber,Fiber,g,,NA,NA,
322,RDI,Fat,,Fat,g,,NA,NA,
323,RDI,Linoleic acid,,Linoleic acid,g,,NA,NA,
324,RDI,α-Linolenic acid,,α-Linolenic acid,g,,NA,NA,
325,RDI,Protein,,Protein,g,g,NA,NA,2
