"country","iso3","nutrient","npeople","ndeficient","perc_deficient"
"Slovenia","SVN","Vitamin A, RAE",2078741,746260.476811133,35.8996371751523
"Slovenia","SVN","Vitamin B-12",2078741,133561.0775297,6.42509468614414
"Slovenia","SVN","Zinc",2078741,1109.64371536723,0.0533805661872849
"Solomon Islands","SLB","Calcium",686874,408192.946807871,59.4276310950583
"Solomon Islands","SLB","Iron",686874,314096.406368424,45.7283877928738
"Solomon Islands","SLB","Omega-3 fatty acids",280884,136431.147895411,48.5720610271182
"Solomon Islands","SLB","Vitamin A, RAE",686874,1.0255575700548,0.000149307961875802
"Solomon Islands","SLB","Vitamin B-12",686874,433340.612959258,63.0888071115311
"Solomon Islands","SLB","Zinc",686874,269024.238117888,39.1664611148315
"Somalia","SOM","Calcium",15893180,15804557.3402879,99.4423856036862
"Somalia","SOM","Iron",15893180,15515127.9760284,97.6212940143408
"Somalia","SOM","Omega-3 fatty acids",5205951,4606486.01712199,88.4850052780365
"Somalia","SOM","Vitamin A, RAE",15893180,14310298.1837143,90.0404965130599
"Somalia","SOM","Vitamin B-12",15893180,12850670.0625022,80.856506139754
"Somalia","SOM","Zinc",15893180,15701114.8291492,98.791524598282
"South Africa","ZAF","Calcium",59308638,57607720.4660001,97.1320913928257
"South Africa","ZAF","Iron",59308638,8018062.30956231,13.5192150417656
"South Africa","ZAF","Omega-3 fatty acids",32389768,27718792.5606322,85.5788549045249
"South Africa","ZAF","Vitamin A, RAE",59308638,14120737.6004827,23.8089055433758
"South Africa","ZAF","Vitamin B-12",59308638,208913.479070181,0.352247979577918
"South Africa","ZAF","Zinc",59308638,496213.655021559,0.836663379492139
"South Korea","KOR","Calcium",51264836,46000288.6311542,89.7306852423252
"South Korea","KOR","Iron",51264836,5608032.70327252,10.9393360846263
"South Korea","KOR","Omega-3 fatty acids",39141521,8025888.76167434,20.5047953084765
"South Korea","KOR","Vitamin A, RAE",51264836,2665470.3828086,5.19941267891426
"South Korea","KOR","Vitamin B-12",51264836,6.72808764889885e-11,1.31241766752143e-16
"South Korea","KOR","Zinc",51264836,199001.204500844,0.388182660919551
"Spain","ESP","Calcium",46741700,28802505.9385696,61.6205784953684
"Spain","ESP","Iron",46741700,1818511.80711076,3.89055555769422
"Spain","ESP","Omega-3 fatty acids",35515227,27214625.8962415,76.6280499804815
"Spain","ESP","Vitamin A, RAE",46741700,16505620.7436964,35.3124099972753
"Spain","ESP","Vitamin B-12",46741700,2969875.49169255,6.35380290338724
"Spain","ESP","Zinc",46741700,25380.377677073,0.0542992182078808
"Sri Lanka","LKA","Calcium",21412675,20343909.3983338,95.0087244976811
"Sri Lanka","LKA","Iron",21412675,4691589.23447514,21.9103369124835
"Sri Lanka","LKA","Omega-3 fatty acids",13180769,4145992.36388223,31.4548594538167
"Sri Lanka","LKA","Vitamin A, RAE",21412675,12790510.8009627,59.7333626039842
"Sri Lanka","LKA","Vitamin B-12",21412675,6619686.39052415,30.9148034541418
"Sri Lanka","LKA","Zinc",21412675,3115274.64512882,14.5487410850294
"St. Kitts & Nevis","KNA","Calcium",0,0,NA
"St. Kitts & Nevis","KNA","Iron",0,0,NA
"St. Kitts & Nevis","KNA","Omega-3 fatty acids",0,0,NA
"St. Kitts & Nevis","KNA","Vitamin A, RAE",0,0,NA
"St. Kitts & Nevis","KNA","Vitamin B-12",0,0,NA
"St. Kitts & Nevis","KNA","Zinc",0,0,NA
"St. Lucia","LCA","Calcium",183596,154185.202208467,83.9806979501005
"St. Lucia","LCA","Iron",183596,21758.7231718682,11.851414612447
